Repository,Branch
Activity-Tracker-Backend,feature/setup
Activity-Tracker-Backend,feature/setup-basic-task
Activity-Tracker-Backend,feature/update
Activity-Tracker-Backend,fix/admin
Activity-Tracker-Backend,gkhhgcl-patch-1
Activity-Tracker-Backend,main
myMTNNG_App_Config,main
myMTNNG_App_Config,security-scans
After-Sales-Support,af-be-dev
After-Sales-Support,af-be-prod
After-Sales-Support,af-be-stage
After-Sales-Support,ans-prod
After-Sales-Support,ansible
After-Sales-Support,backend
After-Sales-Support,backend-dev
After-Sales-Support,backend-v2-dev
After-Sales-Support,backend-v2-prod
After-Sales-Support,backend-v2-stage
After-Sales-Support,base_image
After-Sales-Support,cicd-backend-dev
After-Sales-Support,dast
After-Sales-Support,desecops-af-be-stage1
After-Sales-Support,dev
After-Sales-Support,dev-test
After-Sales-Support,development
After-Sales-Support,development2
After-Sales-Support,development-new
After-Sales-Support,devsec-af-be-prod
After-Sales-Support,devsecops-af-be-dev
After-Sales-Support,devsecops-dev
After-Sales-Support,devsecops-stage
After-Sales-Support,fe
After-Sales-Support,feature-backend-update
After-Sales-Support,fetest
After-Sales-Support,gkhhgcl-patch-1
After-Sales-Support,gkhhgcl-patch-2
After-Sales-Support,gkhhgcl-patch-3
After-Sales-Support,main
Amazon-Tribe-Frontend,afolabi
Amazon-Tribe-Frontend,afolabi-admin
Amazon-Tribe-Frontend,akeyless-dev
Amazon-Tribe-Frontend,az-frontend
Amazon-Tribe-Frontend,backup-drop-12
Amazon-Tribe-Frontend,backup-drop-13
Amazon-Tribe-Frontend,cicd-frontend-dev
Amazon-Tribe-Frontend,cicd-test
Amazon-Tribe-Frontend,d-dev
Amazon-Tribe-Frontend,d-main
Amazon-Tribe-Frontend,d-stage
Amazon-Tribe-Frontend,dast
Amazon-Tribe-Frontend,dependabot/npm_and_yarn/axios-1.6.0
Amazon-Tribe-Frontend,dependabot/npm_and_yarn/babel/traverse-7.23.3
Amazon-Tribe-Frontend,dependabot/npm_and_yarn/next-auth-4.24.5
Amazon-Tribe-Frontend,dependabot/npm_and_yarn/sharp-0.32.6
Amazon-Tribe-Frontend,dev
Amazon-Tribe-Frontend,devops/patch-2
Amazon-Tribe-Frontend,devops/ssl
Amazon-Tribe-Frontend,devops/ssl-fix-1
Amazon-Tribe-Frontend,devsecop-scacheck-patch-1
Amazon-Tribe-Frontend,devsecops-dev
Amazon-Tribe-Frontend,drop1-backup
Amazon-Tribe-Frontend,drop2-backup
Amazon-Tribe-Frontend,drop3-backup
Amazon-Tribe-Frontend,feat/dashboard
Amazon-Tribe-Frontend,fix/duplicate-contracts
Amazon-Tribe-Frontend,fix/fix-request-pagination
Amazon-Tribe-Frontend,fix/resend-email
Amazon-Tribe-Frontend,fix/sort-admin-contracts
Amazon-Tribe-Backend,Joeasuquo-patch-1
Amazon-Tribe-Backend,Joeasuquo-patch-2
Amazon-Tribe-Backend,Joeasuquo-patch-3
Amazon-Tribe-Backend,Trufflehog-in-CI
Amazon-Tribe-Backend,az-backend
Amazon-Tribe-Backend,az-drop-backup
Amazon-Tribe-Backend,az-microservice_contract_prod
Amazon-Tribe-Backend,back-drop-9
Amazon-Tribe-Backend,backend-dev-1-Israel
Amazon-Tribe-Backend,backend-dev-1-Kanye
Amazon-Tribe-Backend,backend-dev-1
Amazon-Tribe-Backend,backend-dev-2
Amazon-Tribe-Backend,backend-stage-1
Amazon-Tribe-Backend,base-image-microservice
Amazon-Tribe-Backend,cicd-backend-dev
Amazon-Tribe-Backend,cicd-test
Amazon-Tribe-Backend,dast
Amazon-Tribe-Backend,dependabot/npm_and_yarn/laravel-vite-plugin-0.8.1
Amazon-Tribe-Backend,dependabot-config
Amazon-Tribe-Backend,dev
Amazon-Tribe-Backend,devesecops-dev1
Amazon-Tribe-Backend,devops/fix-3
Amazon-Tribe-Backend,devops/fix-4
Amazon-Tribe-Backend,devops_patch_10
Amazon-Tribe-Backend,devops/patch-2
Amazon-Tribe-Backend,devops/ssl-be
Amazon-Tribe-Backend,devops-patch-3
Amazon-Tribe-Backend,devops-patch-9
Amazon-Tribe-Backend,devsecops-dev
Amazon-Tribe-Backend,devsecops-dev-test
DMS-Third-Party-Service,Ikechukwu-Akandu-patch-1
DMS-Third-Party-Service,cicd-backend-dev
DMS-Third-Party-Service,dast
DMS-Third-Party-Service,dependabot/composer/aws/aws-sdk-php-3.295.7
DMS-Third-Party-Service,dependabot/composer/phpseclib/phpseclib-3.0.36
DMS-Third-Party-Service,dev
DMS-Third-Party-Service,devsecops-dev
DMS-Third-Party-Service,holder
DMS-Third-Party-Service,main
DMS-Third-Party-Service,modify
DMS-Third-Party-Service,production
DMS-Third-Party-Service,security-scans
DMS-Third-Party-Service,thirdparty-tz
DMS-Third-Party-Service,tp-dev
Design-Council,main
Design-Council,security-scans
mtnn_fleet_app,drop-one
mtnn_fleet_app,drop-two
mtnn_fleet_app,main
mtnn_fleet_app,main-dev
mtnn_fleet_app,security-scans
MTN-CAREER-FAIR,ansible_fe
MTN-CAREER-FAIR,ansible
MTN-CAREER-FAIR,api-dev
MTN-CAREER-FAIR,dast
MTN-CAREER-FAIR,dev_frontend
MTN-CAREER-FAIR,dev
MTN-CAREER-FAIR,devdevfe
MTN-CAREER-FAIR,feat/pulseEvent
MTN-CAREER-FAIR,feature/api
MTN-CAREER-FAIR,feature/frontend
MTN-CAREER-FAIR,frontend
MTN-CAREER-FAIR,main
MTN-CAREER-FAIR,new-api
MTN-CAREER-FAIR,oluwadamilare-akinbode-patch-1
MTN-CAREER-FAIR,prod_api
MTN-CAREER-FAIR,prod_backend
MTN-CAREER-FAIR,prod_frontend
MTN-CAREER-FAIR,pulse/feat
MTN-CAREER-FAIR,pulse_frontend_prod
MTN-CAREER-FAIR,pulse_frontend_stage
MTN-CAREER-FAIR,pulse_frontend
MTN-CAREER-FAIR,revert-53-security_resolve
MTN-CAREER-FAIR,security_resolve
MTN-CAREER-FAIR,security-scans
MTN-CAREER-FAIR,stage_backend
MTN-CAREER-FAIR,stage_frontend
MTN-CAREER-FAIR,test2
Avatar-Portal,az-prod
Avatar-Portal,base_image
Avatar-Portal,codespace-babatunde-fatai-h-fantastic-space-ww769g6xpppf7xg
Avatar-Portal,cros_error
Avatar-Portal,dast
Avatar-Portal,dependabot/npm_and_yarn/axios-1.6.0
Avatar-Portal,dependabot/npm_and_yarn/babel/traverse-7.23.3
Avatar-Portal,dependabot/npm_and_yarn/postcss-8.4.31
Avatar-Portal,dependabot/npm_and_yarn/vite-4.4.12
Avatar-Portal,dev_frontend
Avatar-Portal,devsecops-main
Avatar-Portal,devsecops-stage
Avatar-Portal,fixes_to_dev
Avatar-Portal,frontend
Avatar-Portal,gkhhgcl-non-root
Avatar-Portal,gkhhgcl-patch-1
Avatar-Portal,gkhhgcl-patch-2
Avatar-Portal,gkhhgcl-patch-3
Avatar-Portal,gkhhgcl-patch-4
Avatar-Portal,gkhhgcl-patch-5
Avatar-Portal,gkhhgcl-patch-6
Avatar-Portal,gkhhgcl-patch-7
Avatar-Portal,gkhhgcl-patch-8
Avatar-Portal,gkhhgcl-patch-9
Avatar-Portal,gkhhgcl-patch-10
Avatar-Portal,gkhhgcl-patch-11
Avatar-Portal,joe/deployment-fix
Avatar-Portal,joe/xureal-auth
Avatar-Portal,main
Avatar-Portal,main-fix
APP-PAD-Frontend,ansible
APP-PAD-Frontend,dast
APP-PAD-Frontend,dependabot/npm_and_yarn/axios-1.6.0
APP-PAD-Frontend,dependabot/npm_and_yarn/next-13.5.0
APP-PAD-Frontend,dependabot/npm_and_yarn/postcss-8.4.31
APP-PAD-Frontend,dependabot/npm_and_yarn/word-wrap-1.2.5
APP-PAD-Frontend,dev
APP-PAD-Frontend,devsecops-dev
APP-PAD-Frontend,devsecops-main
APP-PAD-Frontend,main
APP-PAD-Frontend,security-scans
APP-PAD-Frontend,snyk-upgrade-36d562cf0623eae0964941b5d81ad9cf
APP-PAD-Frontend,snyk-upgrade-caf33a3df9dc7a277de10b9e27e3a84d
APP-PAD-Frontend,snyk-upgrade-ccf6147ad8c107634e9e2465a6d62884
APP-PAD-Frontend,snyk-upgrade-d4fd510173bcb4a0e2d4683a28440568
APP-PAD-Frontend,snyk-upgrade-f3b0824cd435aa285d1a3d2688ea8219
APP-PAD-Frontend,stage
APP-PAD-Frontend,test
APP-PAD-Frontend,trufflehog-in-CI
APP-PAD-Backend,Joeasuquo-patch-1
APP-PAD-Backend,ansible
APP-PAD-Backend,dast
APP-PAD-Backend,dev
APP-PAD-Backend,devsecops-stage
APP-PAD-Backend,main
APP-PAD-Backend,security-scans
APP-PAD-Backend,stage
myMTN-NG-Core,PROD-17MAR
myMTN-NG-Core,develop
myMTN-NG-Core,main
myMTN-NG-Core,master
myMTN-NG-Core,release/app_version_1.4.1_2
myMTN-NG-Core,security-scans
myMTN-NG-Core,snyk-upgrade-112322a7e6b14c2dfe4d50c4aa136e07
Avatar_portal_backend,Dev_service01
Avatar_portal_backend,Joeasuquo-patch-1
Avatar_portal_backend,Joeasuquo-patch-2-main
Avatar_portal_backend,Joeasuquo-patch-main
Avatar_portal_backend,add-trivy-to-workflow
Avatar_portal_backend,az-backend
Avatar_portal_backend,az-dev
Avatar_portal_backend,az-prod
Avatar_portal_backend,dast
Avatar_portal_backend,dependabot/npm_and_yarn/axios-1.6.0
Avatar_portal_backend,dependabot/npm_and_yarn/babel/traverse-and-depcheck-7.23.2
Avatar_portal_backend,dependabot/npm_and_yarn/braces-3.0.3
Avatar_portal_backend,dependabot/npm_and_yarn/express-4.19.2
Avatar_portal_backend,dependabot/npm_and_yarn/multi-b9d63894b3
Avatar_portal_backend,dependabot/npm_and_yarn/mysql2-3.9.8
Avatar_portal_backend,dependabot/npm_and_yarn/postcss-8.4.31
Avatar_portal_backend,dev
Avatar_portal_backend,devops-patch-1
Avatar_portal_backend,devsecops-main
Avatar_portal_backend,devsecops-stage
Avatar_portal_backend,feat-admin-roles
Avatar_portal_backend,feat-metrics
Avatar_portal_backend,gkhhgcl-patch-1
Avatar_portal_backend,gkhhgcl-patch-2
Avatar_portal_backend,gkhhgcl-patch-3
Avatar_portal_backend,joe/hot-dev
Avatar_portal_backend,main
Avatar_portal_backend,maxwell-patch1-dast
Avatar_portal_backend,owasp-zap
Avatar_portal_backend,revert-21-Dev_service01
Enterprise_License_Manager,Joeasuquo-patch-1
Enterprise_License_Manager,Joeasuquo-patch-2
Enterprise_License_Manager,Joeasuquo-patch-3
Enterprise_License_Manager,dan/changes
Enterprise_License_Manager,dependabot/npm_and_yarn/axios-1.6.0
Enterprise_License_Manager,dependabot/npm_and_yarn/braces-3.0.3
Enterprise_License_Manager,dependabot/npm_and_yarn/next-14.1.1
Enterprise_License_Manager,dependabot/npm_and_yarn/postcss-8.4.31
Enterprise_License_Manager,dev
Enterprise_License_Manager,devsecops
Enterprise_License_Manager,devsecops-main
Enterprise_License_Manager,main
Enterprise_License_Manager,new-app/dev
Enterprise_License_Manager,new-ui-conv
Enterprise_License_Manager,security-scans
Enterprise_License_Manager,test
Design_Coucil_frontend,main
Design_Coucil_frontend,security-scans
Design_Council,dependabot/npm_and_yarn/axios-1.6.0
Design_Council,dependabot/npm_and_yarn/next-13.5.0
Design_Council,dependabot/npm_and_yarn/next-auth-4.24.5
Design_Council,dependabot/npm_and_yarn/postcss-8.4.31
Design_Council,dependabot/npm_and_yarn/semver-6.3.1
Design_Council,dependabot/npm_and_yarn/word-wrap-1.2.5
Design_Council,main
Design_Council,security-scans
ng-tkgi-platform,autofix/alert-10-2c52d49938
ng-tkgi-platform,main
ng-tkgi-platform,security-scans
PrestigeAirport_Frontend,Bug-fix
PrestigeAirport_Frontend,ch/bug-fix
PrestigeAirport_Frontend,dan
PrestigeAirport_Frontend,dast
PrestigeAirport_Frontend,debugging
PrestigeAirport_Frontend,dependabot/npm_and_yarn/axios-1.6.8
PrestigeAirport_Frontend,dependabot/npm_and_yarn/follow-redirects-1.15.6
PrestigeAirport_Frontend,dependabot/npm_and_yarn/jose-4.15.5
PrestigeAirport_Frontend,dependabot/npm_and_yarn/mysql2-3.9.4
